"","GP","A1","A2a","A2b","A3a","A3b"
"1","Recruits Per Spawner (R/S)",3.24093931704183,1.90682248406538,1.89292491410046,1.90688766888408,1.5131360889416
"2","Geomean Spawners (NOR)",404.063674777911,113.438518167038,111.778464023617,113.308633215361,69.6728288624521
"3","QET Threshold",0.436,0.937,0.942,0.939,0.988
"4","SAR",0.041883894928275,0.041883894928275,0.041883894928275,0.041883894928275,0.041883894928275
"5","Marine Survival",0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051,0.04154538592051
"6","early Marine Survival",0.0438974204552467,0.0438974204552467,0.0438974204552467,0.0438974204552467,0.0438974204552467
"7","DPS",0.840557780449613,0.706321730036808,0.704160058219803,0.706034529081787,0.828041400714491
"8","DPE",0.732697410746075,0.553952497777552,0.552662942459083,0.553883082964963,0.421595803469844
"9","DPS*DPE",0.624394242045186,0.381232665302822,0.379246117142414,0.381027099326269,0.324454017500346
